causa,nivel,justificacion_medica,cie10,confianza
OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES,1,Patología dental que requiere atención odontológica ambulatoria sin hospitalización,K03,alta
CARIES DENTAL,1,Enfermedad dental de manejo ambulatorio con tratamientos odontológicos conservadores o restaurativos,K02,alta
ALTERACIONES DE LA VISION,1,Trastornos refractivos o visuales que requieren evaluación oftalmológica ambulatoria y corrección con lentes o tratamiento menor,H53,alta
PARTO POR CESÁREA ELECTIVA,2,Cirugía obstétrica programada con hospitalización típica de 2-4 días,O82.0,alta
EMBARAZO CONFIRMADO,1,Diagnóstico confirmatorio que requiere consulta prenatal ambulatoria sin intervención,Z32.1,alta
DESVIACIÓN DEL TABIQUE NASAL,2,Condición que frecuentemente requiere septoplastia quirúrgica programada con hospitalización breve,J34.2,alta
"COVID-19, VIRUS IDENTIFICADO",2,"Infección que puede requerir hospitalización según severidad, clasificación media por espectro variable de presentación",U07.1,media
CÁLCULO DE LA VESÍCULA BILIAR CON COLECISTITIS AGUDA,2,Urgencia quirúrgica que requiere colecistectomía con hospitalización de 2-4 días,K80.0,alta
"PARTO POR CESÁREA, SIN OTRA ESPECIFICACIÓN",2,Cirugía obstétrica con hospitalización estándar de 2-4 días,O82.9,alta
EXAMEN GENERAL E INVESTIGACION DE PERSONAS SIN QUEJAS O SIN DIAGNOSTICO INFORMADO,1,Examen preventivo o chequeo médico general realizado de forma ambulatoria,Z00.0,alta
HIPERTENSIÓN ESENCIAL (PRIMARIA),1,Enfermedad crónica de manejo ambulatorio con seguimiento y tratamiento farmacológico,I10,alta
CÁLCULO DEL RIÑÓN,2,Litiasis renal que puede requerir procedimientos urológicos mínimamente invasivos o cirugía con hospitalización breve,N20.0,alta
MENISCO QUÍSTICO,2,Patología de rodilla que requiere artroscopia programada con hospitalización menor a 24 horas o ambulatoria,M23.0,alta
LEIOMIOMA SUBMUCOSO DEL ÚTERO,2,Mioma uterino que frecuentemente requiere resección quirúrgica programada vía histeroscópica o laparoscópica,D25.0,alta
EXAMEN MÉDICO GENERAL,1,Consulta preventiva o de valoración inicial realizada de manera ambulatoria,Z00.0,alta
