causa,nivel,justificacion_medica,cie10,confianza
"TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE ÓRGANOS RESPIRATORIOS, SITIO NO ESPECIFICADO",3,"Tumor de comportamiento incierto requiere seguimiento oncológico especializado, estudios de imagen avanzados y posible biopsia en alta especialidad",D38.1,alta
"OTROS TRASTORNOS ESPECIFICADOS DEL OJO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE",2,"Trastornos oculares secundarios que requieren evaluación oftalmológica especializada y posible tratamiento hospitalario",H58.8,media
"OSTEOPOROSIS NO ESPECIFICADA, CON FRACTURA PATOLÓGICA",2,"Fractura patológica por osteoporosis requiere hospitalización para estabilización, tratamiento y rehabilitación",M80.9,alta
"ESCOLIOSIS, NO ESPECIFICADA",2,"Escoliosis puede requerir tratamiento ortopédico, fisioterapia especializada o cirugía programada según severidad",M41.9,media
"OTRAS CISTITIS CRÓNICAS",1,"Infección urinaria crónica manejable ambulatoriamente con antibióticos y seguimiento urológico",N30.8,alta
"OTRAS OTITIS MEDIAS CRÓNICAS SUPURATIVAS",2,"Otitis media crónica supurativa requiere tratamiento otorrinolaringológico especializado, posible cirugía",H66.3,alta
"ESGUINCES Y TORCEDURAS DE LA MUÐECA",1,"Lesión menor de tejidos blandos manejable ambulatoriamente con inmovilización y analgésicos",S63.5,alta
"TIROIDITIS, NO ESPECIFICADA",1,"Proceso inflamatorio tiroideo manejable ambulatoriamente con medicación y monitoreo hormonal",E06.9,alta
"SINDROME POSTFLEBITICO",2,"Complicación de trombosis venosa profunda que requiere manejo especializado vascular",I87.0,alta
"HIDROPESÍA DE LA VESÍCULA BILIAR",2,"Distensión vesicular que requiere evaluación quirúrgica, probable colecistectomía programada",K82.1,alta
"HIPEREMESIS GRAVÍDICA LEVE",1,"Náusea y vómito excesivo del embarazo leve manejable ambulatoriamente con hidratación y antieméticos",O21.0,alta
"SÍNDROME DE CEFALEA EN RACIMOS",1,"Cefalea primaria severa pero manejable ambulatoriamente con tratamiento neurológico especializado",G44.0,alta
"TRASTORNO ESPECÍFICO DEL DESARROLLO DE LA FUNCIÓN MOTRIZ",1,"Trastorno del neurodesarrollo que requiere terapia física y ocupacional ambulatoria",F82,alta
