causa,nivel,justificacion_medica,cie10,confianza
"TUMOR MALIGNO DEL CIEGO",3,"Neoplasia maligna colorrectal que requiere manejo oncológico multidisciplinario con cirugía, quimioterapia y seguimiento en alta especialidad",C18.0,alta
"TRAUMATISMOS SUPERFICIALES QUE AFECTAN LA CABEZA CON EL CUELLO",1,"Lesiones superficiales menores que no requieren hospitalización, manejo ambulatorio con curación y analgesia",S09.9,alta
"ALERGIA NO ESPECIFICADA",1,"Cuadro alérgico inespecífico de manejo ambulatorio con antihistamínicos y medidas generales",T78.4,media
"DIABETES MELLITUS NO INSULINODEPENDIENTE CON COMA",3,"Complicación grave de DM2 con estado de coma que requiere manejo en UCI con monitoreo continuo y corrección metabólica",E11.0,alta
"FRACTURA DE LA DIÁFISIS DEL CÚBITO Y DEL RADIO",2,"Fractura de antebrazo que requiere hospitalización para reducción quirúrgica con osteosíntesis y rehabilitación",S52.4,alta
"ABSCESO ANAL",2,"Infección perianal que requiere drenaje quirúrgico con hospitalización breve y antibioticoterapia",K61.0,alta
"NEFRITIS TUBULOINTERSTICIAL AGUDA",3,"Proceso inflamatorio renal agudo que requiere manejo hospitalario con posible progresión a insuficiencia renal",N10,alta
"FÍSTULA ANAL",2,"Patología anorrectal que requiere intervención quirúrgica programada con hospitalización breve",K60.3,alta
"DIABETES MELLITUS TIPO 2",1,"Enfermedad metabólica crónica de control ambulatorio con hipoglucemiantes orales y seguimiento periódico",E11.9,alta
"FRACTURA DE LA DIÁFISIS DE LA TIBIA",2,"Fractura de hueso largo que requiere hospitalización para reducción y fijación quirúrgica",S82.2,alta
"CATARATA SENIL",2,"Opacidad cristaliniana que requiere cirugía programada de facoemulsificación con hospitalización de día",H25.9,alta
"FRACTURA DEL PERONÉ SOLAMENTE",2,"Fractura de hueso largo que puede requerir hospitalización para fijación quirúrgica según desplazamiento",S82.4,alta
"PANCREATITIS IDIOPÁTICA AGUDA",3,"Proceso inflamatorio pancreático agudo que requiere manejo en UCI con ayuno, hidratación intensiva y monitoreo de complicaciones",K85.9,alta
"TUMOR MALIGNO DE LA MAMA",3,"Neoplasia maligna que requiere manejo oncológico integral con cirugía, quimioterapia, radioterapia en alta especialidad",C50.9,alta
"CALCULO DEL RIÑON Y DEL URETER",2,"Litiasis urinaria que puede requerir hospitalización para litotripsia o ureteroscopia según tamaño y localización",N20.2,alta
"LEIOMIOMA INTRAMURAL DEL ÚTERO",2,"Tumor benigno uterino que requiere cirugía programada (miomectomía o histerectomía) con hospitalización",D25.1,alta
"OTRA RUPTURA ESPONTÁNEA DEL (DE LOS) LIGAMENTO(S) DE LA RODILLA",2,"Lesión ligamentaria completa que requiere reconstrucción quirúrgica artroscópica con hospitalización",M23.8,alta
"TRASTORNO RELACIONADO CON EL VAPEO (VAPING)",3,"Patología pulmonar aguda grave asociada a vapeo que puede requerir UCI con soporte ventilatorio",U07.0,alta
"ESGUINCES Y TORCEDURAS DE OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA RODILLA",1,"Lesión ligamentaria menor sin ruptura completa, manejo ambulatorio con AINES, inmovilización y fisioterapia",S83.6,alta
"TUMOR MALIGNO DEL OVARIO",3,"Neoplasia ginecológica maligna que requiere cirugía oncológica, quimioterapia y seguimiento en alta especialidad",C56.9,alta
"TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA GLÁNDULA TIROIDES",2,"Nódulo tiroideo que requiere biopsia, evaluación endocrinológica y posible tiroidectomía programada",D44.0,alta
"ABORTO RETENIDO",2,"Pérdida gestacional que requiere hospitalización para legrado uterino o manejo médico con vigilancia",O02.1,alta
"OTROS TRAUMATISMOS ESPECIFICADOS QUE AFECTAN MÚLTIPLES REGIONES DEL CUERPO",3,"Politraumatismo que requiere manejo multidisciplinario en hospital con posible ingreso a UCI",T07,media
