causa,nivel,justificacion_medica,cie10,confianza
"HELICOBACTER PYLORI [H.PYLORI] COMO LA CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPÍTULOS",1,"Infección bacteriana que se diagnostica y trata ambulatoriamente con antibióticos y estudios de gabinete",B98.0,alta
"DOLOR EN EL PECHO AL RESPIRAR",1,"Síntoma que requiere valoración ambulatoria, puede ser musculoesquelético o respiratorio leve",R07.1,media
"OSTEOFITO",1,"Hallazgo radiológico de crecimiento óseo que se maneja conservadoramente de forma ambulatoria",M25.7,alta
"DEFICIENCIA DE VITAMINA D, NO ESPECIFICADA",1,"Deficiencia nutricional que se diagnostica y trata ambulatoriamente con suplementación",E55.9,alta
"QUISTE RADICULAR",2,"Lesión dental que frecuentemente requiere procedimiento quirúrgico dental u odontológico con hospitalización breve",K04.8,alta
"SINUSITIS ESFENOIDAL AGUDA",1,"Infección sinusal aguda que se maneja ambulatoriamente con antibióticos",J01.3,alta
"SÍNDROME DE HIPERINMUNOGLOBULINA E [IGE]",3,"Inmunodeficiencia primaria que requiere manejo especializado multidisciplinario y hospitalización",D82.4,alta
"OTRAS OSTEOMALACIAS DEL ADULTO",2,"Enfermedad metabólica ósea que puede requerir hospitalización para estudios especializados y tratamiento",M83.8,media
"LINFADENITIS AGUDA DEL MIEMBRO SUPERIOR",1,"Infección ganglionar aguda que se maneja ambulatoriamente con antibióticos",L04.2,alta
"TUMOR BENIGNO DEL COLON TRANSVERSO",2,"Lesión tumoral que requiere resección quirúrgica programada con hospitalización",D12.3,alta
"ARTRESIA DEL ESOFAGO SIN MENCION DE FISTULA",3,"Malformación congénita grave que requiere cirugía neonatal de alta complejidad en UCI",Q39.0,alta
"OTROS TRAUMATISMOS MÚLTIPLES DEL ABDOMEN, DE LA REGIÓN LUMBOSACRA Y DE LA PELVIS",3,"Politraumatismo que requiere manejo en urgencias, posible cirugía y hospitalización prolongada",T09.8,alta
"HIDROURÉTER",2,"Dilatación ureteral que puede requerir procedimientos urológicos y hospitalización",N13.4,alta
"QUEMADURA DEL HOMBRO Y MIEMBRO SUPERIOR, DE TERCER GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO",3,"Quemadura de tercer grado que requiere manejo especializado en unidad de quemados, posible cirugía",T22.3,alta
"CAÍDA EN O DESDE ANDAMIO, VIVIENDA",2,"Traumatismo por caída que puede requerir hospitalización según gravedad de lesiones",W12.0,media
"CORROSIÓN DE LA MUÑECA Y DE LA MANO, DE PRIMER GRADO",1,"Quemadura química leve que se maneja ambulatoriamente con curación local",T23.5,alta
"HALLAZGOS ANORMALES EN DIAGNÓSTICO POR IMAGEN DEL CORAZÓN Y DE LA CIRCULACIÓN CORONARIA",2,"Hallazgo que requiere valoración cardiológica especializada y posible cateterismo o procedimientos",R93.1,media
"HIPOTONÍA OCULAR",1,"Presión intraocular baja que se valora y maneja ambulatoriamente por oftalmología",H44.4,alta
"OSTEOCONDROSIS JUVENIL DEL HUMERO",1,"Trastorno óseo del desarrollo que se maneja conservadoramente de forma ambulatoria",M92.0,alta
"ESPASMO ANAL",1,"Trastorno funcional que se maneja ambulatoriamente con medicamentos y medidas conservadoras",K59.4,alta
"LESIÓN DE SITIOS CONTIGUOS DE LAS VÍAS BILIARES",3,"Lesión maligna que requiere cirugía de alta complejidad hepatobiliar",C24.8,alta
"EFECTO TÓXICO DE DETERGENTES Y JABONES",1,"Intoxicación leve que generalmente se maneja ambulatoriamente con medidas de soporte",T55,media
"DIVERTÍCULO DE LA URETRA",2,"Malformación urológica que puede requerir cirugía programada con hospitalización",N36.1,alta
"FRACTURAS QUE AFECTAN EL TÓRAX CON LA REGIÓN LUMBOSACRA Y LA PELVIS CON MIEMBRO(S)",3,"Fracturas múltiples que requieren manejo traumatológico complejo, posible cirugía y hospitalización prolongada",T02.8,alta
"TUMOR BENIGNO DEL TEJIDO MESOTELIAL DEL PERITONEO",2,"Tumor que requiere resección quirúrgica programada con hospitalización",D19.1,alta
"NEVO MELANOCÍTICO DEL CUERO CABELLUDO Y DEL CUELLO",1,"Lesión dermatológica que se valora ambulatoriamente, posible escisión menor",D22.4,alta
"NEUMONIA CONGENITA",3,"Neumonía neonatal grave que requiere manejo en UCI neonatal con antibióticos IV",P23.9,alta
"DIFICULTADES Y MALA ADMINISTRACIÓN DE LA ALIMENTACIÓN",1,"Problema nutricional que se maneja ambulatoriamente con orientación y ajustes dietéticos",R63.3,media
"GANGLIONITIS GENICULADA",2,"Neuritis viral (herpes zoster) que puede requerir hospitalización para manejo del dolor",B02.2,alta
"MONONEUROPATÍA DEL MIEMBRO SUPERIOR, SIN OTRA ESPECIFICACIÓN",1,"Neuropatía focal que se diagnostica y maneja ambulatoriamente",G56.9,media
"MENINGITIS ESTREPTOCÓCICA",3,"Infección del SNC que requiere hospitalización urgente en UCI con antibióticos IV",G00.2,alta
"TUMEFACCIÓN, MASA O PROMINENCIA LOCALIZADA EN PARTE NO ESPECIFICADA",1,"Hallazgo clínico que requiere valoración ambulatoria y estudios diagnósticos",R22.9,baja
"TROMBOANGEÍTIS OBLITERANTE [BUERGER]",3,"Enfermedad vascular grave que requiere manejo especializado, posible amputación",I73.1,alta
"HIPERPLASIA PERSISTENTE DEL TIMO",2,"Alteración tímica que puede requerir timectomía quirúrgica programada",E32.0,alta
"ENFERMEDAD POR VIH, RESULTANTE EN ENCEFALOPATÍA",3,"Complicación neurológica grave del VIH que requiere hospitalización en infectología",B22.0,alta
"PARTO CON FÓRCEPS BAJO",2,"Parto instrumentado que requiere hospitalización obstétrica",O81.0,alta
"ACONDROGÉNESIS",3,"Displasia esquelética letal o muy grave que requiere manejo neonatal especializado",Q77.0,alta
"EFECTOS ADVERSOS DE VACUNAS O SUSTANCIAS BIOLÓGICAS NO ESPECIFICADAS",1,"Reacción adversa que generalmente se maneja ambulatoriamente con medidas sintomáticas",T50.Z,media
"ANEMIA POSTHEMORRÁGICA AGUDA",3,"Anemia aguda por sangrado que requiere hospitalización urgente, posible transfusión",D62,alta
"EXAMEN DE PESQUISA ESPECIAL PARA OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS ESPECIFICADAS",1,"Estudio de tamizaje que se realiza ambulatoriamente",Z11.8,alta
"TRASTORNO VASCULAR CRÓNICO DEL INTESTINO",3,"Isquemia intestinal crónica que puede requerir cirugía vascular especializada",K55.1,alta
"CUERPO EXTRAÑO EN OTRAS Y EN MÚLTIPLES PARTES DE LAS VÍAS RESPIRATORIAS",3,"Aspiración de cuerpo extraño que requiere broncoscopia urgente y hospitalización",T17.8,alta
"TRASTORNO NO ESPECIFICADO DE LOS TEJIDOS BLANDOS RELACIONADO CON EL USO, EL USO EXCESIVO Y LA PRESIÓN",1,"Lesión por sobreuso que se maneja ambulatoriamente con reposo y rehabilitación",M70.9,media
"TRASTORNOS DE LOS TENDONES Y DE LA SINOVIA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE",1,"Manifestación musculoesquelética secundaria que se maneja ambulatoriamente",M68,media
"SUBLUXACIÓN CONGÉNITA DE LA CADERA, BILATERAL",2,"Displasia de cadera que requiere tratamiento ortopédico, posible cirugía programada",Q65.2,alta
"OTRAS MALFORMACIONES CONGÉNITAS DEL SISTEMA VASCULAR PERIFÉRICO, ESPECIFICADAS",2,"Malformación vascular que puede requerir cirugía programada según gravedad",Q27.8,media
"OTRAS MALFORMACIONES CONGÉNITAS DEL DIAFRAGMA",3,"Malformación diafragmática que requiere cirugía neonatal de alta complejidad",Q79.1,alta
"PITIRIASIS LIQUENOIDE Y VARIOLIFORME AGUDA",1,"Dermatosis que se maneja ambulatoriamente con tratamiento tópico y sistémico",L41.0,alta
"MOTOCICLISTA LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE, Y EN LOS NO ESPECIFICADOS",2,"Traumatismo por accidente vehicular que puede requerir hospitalización según lesiones",V29.9,media
"TUMOR BENIGNO DE LAS GLANDULAS SALIVALES MAYORES",2,"Tumor que requiere resección quirúrgica programada con hospitalización",D11,alta
"MIOCARDITIS AGUDA",3,"Inflamación cardiaca aguda que requiere hospitalización en cardiología o UCI",I40.9,alta
