causa,nivel,justificacion_medica,cie10,confianza
PERICARDITIS CONSTRICTIVA CRÓNICA,3,"Enfermedad cardiovascular crónica grave que requiere manejo en alta especialidad, monitoreo intensivo y potencial intervención quirúrgica compleja",I31.1,alta
OTRAS GONARTROSIS POSTRAUMÁTICAS,2,"Artrosis de rodilla secundaria a trauma que puede requerir cirugía artroscópica o reemplazo articular programado",M17.3,alta
OTRAS ARTROSIS,2,"Enfermedad degenerativa articular que frecuentemente requiere manejo quirúrgico ortopédico programado",M19.9,media
TRASTORNO DE ANSIEDAD ORGÁNICO,2,"Trastorno psiquiátrico con causa orgánica que requiere hospitalización para estabilización y tratamiento",F06.4,alta
CONTRACTURA ARTICULAR,2,"Limitación articular que generalmente requiere procedimientos quirúrgicos o terapia intensiva hospitalaria",M24.5,media
DERRAME PLEURAL EN AFECCIONES CLASIFICADAS EN OTRA PARTE,3,"Complicación pulmonar grave que requiere hospitalización prolongada, toracocentesis o drenaje en especialidad",J91,alta
ESTADO DE ARTRODESIS,2,"Seguimiento postquirúrgico de fusión articular, procedimiento ortopédico mayor",M96.0,alta
OTRAS MALFORMACIONES CONGÉNITAS DE LOS BRONQUIOS,3,"Malformación congénita respiratoria que requiere manejo especializado y posible cirugía torácica",Q32.4,alta
ENCEFALOPATÍA HIPERTENSIVA,3,"Emergencia neurológica por crisis hipertensiva que requiere UCI y manejo intensivo",I67.4,alta
ESTENOSIS AÓRTICA REUMÁTICA,3,"Valvulopatía grave que requiere cirugía cardiovascular y manejo en alta especialidad",I06.0,alta
EFECTO TÓXICO DEL VENENO DE SERPIENTE,3,"Intoxicación grave que requiere UCI, antiveneno y manejo de emergencia",T63.0,alta
HERIDA DE LA PARED ABDOMINAL,2,"Traumatismo que puede requerir cirugía de exploración y cierre quirúrgico en hospitalización",S31.1,alta
FISURA DEL PALADAR DURO CON LABIO LEPORINO UNILATERAL,3,"Malformación congénita compleja que requiere cirugía reconstructiva especializada por cirugía maxilofacial",Q37.1,alta
TRAUMATISMOS NO ESPECIFICADOS DEL ANTEBRAZO,2,"Trauma que puede incluir fracturas o lesiones que requieren hospitalización y posible cirugía",S59.9,media
EMBOLIA Y TROMBOSIS DE ARTERIAS DE LOS MIEMBROS SUPERIORES,3,"Emergencia vascular que requiere UCI, anticoagulación intensiva o cirugía vascular de urgencia",I74.2,alta
SÍNDROME DE DIFICULTAD RESPIRATORIA DEL ADULTO,3,"Falla respiratoria aguda grave que requiere UCI, ventilación mecánica y manejo intensivo",J80,alta
ABSCESO DE GLÁNDULA SALIVAL,2,"Infección que generalmente requiere drenaje quirúrgico y hospitalización para antibióticos IV",K11.3,alta
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LOS ORGANOS URINARIOS,3,"Neoplasia que requiere estudio histopatológico especializado, posible cirugía oncológica",D41.9,alta
TRASTORNO INFLAMATORIO DE ÓRGANO GENITAL MASCULINO NO ESPECIFICADO,2,"Proceso inflamatorio que puede requerir hospitalización para tratamiento o drenaje quirúrgico",N49.9,media
ATEROSCLEROSIS GENERALIZADA Y LA NO ESPECIFICADA,2,"Enfermedad cardiovascular crónica que puede requerir procedimientos vasculares programados",I70.9,media
TRAUMATISMO DEL TENDÓN Y MÚSCULO DEL EXTENSOR LARGO DEL DEDO A NIVEL DEL PIE Y DEL TOBILLO,2,"Lesión tendinosa que frecuentemente requiere reparación quirúrgica y hospitalización",S96.1,alta
OTRAS MALFORMACIONES CONGÉNITAS DEL OJO ESPECIFICADAS,2,"Malformación ocular que puede requerir cirugía oftalmológica especializada programada",Q15.8,alta
ESTENOSIS DE LA AORTA,3,"Valvulopatía grave que requiere cirugía cardiovascular mayor y manejo en alta especialidad",I35.0,alta
LIQUEN PLANO HIPERTRÓFICO,1,"Dermatosis inflamatoria crónica manejable ambulatoriamente con tratamiento tópico o sistémico",L43.0,alta
EPIDERMÓLISIS BULLOSA SIMPLE,2,"Enfermedad cutánea ampollosa que puede requerir hospitalizaciones por infecciones secundarias",Q81.0,alta
OTRAS COXARTROSIS SECUNDARIAS,2,"Artrosis de cadera que frecuentemente requiere reemplazo articular programado",M16.5,alta
OTROS TRASTORNOS DE LA DENSIDAD Y DE LA ESTRUCTURA OSEAS,2,"Patología ósea que puede requerir cirugía ortopédica o manejo hospitalario por fracturas",M85.9,media
FÍSTULA DEL INTESTINO,3,"Complicación gastrointestinal grave que requiere cirugía mayor y hospitalización prolongada",K63.2,alta
TRAUMATISMO DE MÚLTIPLES TENDONES Y MÚSCULOS A NIVEL DE LA PIERNA,2,"Politraumatismo que requiere cirugía reparadora y hospitalización",S86.7,alta
BALANITIS XEROTICA OBLITERANTE,2,"Lesión inflamatoria genital que puede requerir cirugía urológica",N48.6,alta
MENINGOENCEFALITIS Y MENINGOMIELITIS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE,3,"Infección del SNC grave que requiere UCI, antibióticos IV y manejo intensivo",G04.2,alta
TUMOR BENIGNO DE ÓRGANO GENITAL FEMENINO SITIO NO ESPECIFICADO,2,"Neoplasia benigna que generalmente requiere cirugía ginecológica programada",D28.9,alta
TUMOR BENIGNO DE LA LENGUA,2,"Tumor que puede requerir resección quirúrgica en otorrinolaringología",D10.1,alta
FRACTURA DEL ESTERNÓN,2,"Fractura torácica que requiere hospitalización para manejo del dolor y vigilancia de complicaciones",S22.2,alta
LESIÓN DE SITIOS CONTIGUOS DEL PALADAR,2,"Lesión oral que puede requerir cirugía maxilofacial o manejo hospitalario",C05.8,media
HERIDA DE MIEMBRO INFERIOR NIVEL NO ESPECIFICADO,2,"Traumatismo que puede requerir cirugía de exploración, cierre y hospitalización",S81.9,media
OTROS TRAUMATISMOS MÚLTIPLES DE LA MUÑECA Y DE LA MANO,2,"Politraumatismo que puede requerir cirugía ortopédica y hospitalización",S69.8,alta
OTROS TRAUMATISMOS ESPECIFICADOS DEL ANTEBRAZO,2,"Trauma que puede incluir lesiones que requieren cirugía y hospitalización",S59.8,media
TUMOR MALIGNO DE LA CORTEZA DE LA GLÁNDULA SUPRARRENAL,3,"Cáncer endocrinológico que requiere cirugía oncológica mayor y tratamiento especializado",C74.0,alta
LINFOMA LINFOBLÁSTICO DIFUSO,3,"Neoplasia hematológica maligna que requiere quimioterapia intensiva y manejo oncológico especializado",C83.5,alta
ATENCION POR EL USO DE PROCEDIMIENTOS DE REHABILITACION,1,"Seguimiento ambulatorio de rehabilitación física o funcional",Z50.9,alta
