causa,nivel,justificacion_medica,cie10,confianza
"TUMOR MALIGNO DEL CEREBRO, EXCEPTO LÓBULOS Y VENTRÍCULOS",3,"Neoplasia maligna del SNC que requiere manejo oncológico especializado, cirugía neuroquirúrgica compleja, quimioterapia y/o radioterapia",C71,alta
"TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL ESTÓMAGO",3,"Requiere estudios histopatológicos avanzados, seguimiento oncológico y potencial manejo quirúrgico especializado",D37.1,alta
"GLAUCOMA PRIMARIO DE ÁNGULO ABIERTO",1,"Patología oftalmológica crónica manejada ambulatoriamente con medicación tópica y seguimiento periódico",H40.1,alta
"OTROS HIPOTIROIDISMOS ESPECIFICADOS",1,"Trastorno endocrino crónico manejado ambulatoriamente con terapia de sustitución hormonal y laboratorios de control",E03.8,alta
"OTRAS OBSTRUCCIONES INTESTINALES Y LAS NO ESPECIFICADAS",2,"Requiere hospitalización para manejo médico-quirúrgico, estudios de imagen, posible resolución quirúrgica",K56.6,alta
"VERRUGAS (VENÉREAS) ANOGENITALES",1,"Infección por VPH manejada ambulatoriamente con tratamientos tópicos o procedimientos menores",A63.0,alta
"HEMORRAGIA VAGINAL Y UTERINA ANORMAL, NO ESPECIFICADA",2,"Puede requerir hospitalización para diagnóstico, manejo médico o procedimientos como legrado",N93.9,media
"TESTÍCULO NO DESCENDIDO, BILATERAL",2,"Malformación congénita que requiere corrección quirúrgica programada (orquidopexia bilateral)",Q53.2,alta
"TENOSINOVITIS DE ESTILOIDES RADIAL [DE QUERVAIN]",1,"Patología musculoesquelética manejada ambulatoriamente con antiinflamatorios, terapia física o infiltración",M65.4,alta
"OTRAS COXARTROSIS PRIMARIAS",2,"Degeneración articular que puede requerir cirugía de reemplazo articular (artroplastia de cadera)",M16.1,alta
"HERIDA DEL LABIO Y DE LA CAVIDAD BUCAL",1,"Traumatismo menor generalmente manejado ambulatoriamente con sutura y antibióticos",S01.5,alta
"TUMOR MALIGNO DEL ENDOMETRIO",3,"Cáncer ginecológico que requiere cirugía oncológica, estadificación, quimioterapia y/o radioterapia",C54.1,alta
"HERIDA DE LA CABEZA, PARTE NO ESPECIFICADA",2,"Traumatismo craneal que requiere valoración hospitalaria, estudios de imagen y observación",S01.9,media
"OTRAS ENDOMETRIOSIS",2,"Patología ginecológica que puede requerir cirugía laparoscópica o manejo hospitalario",N80.8,alta
"LARINGOFARINGITIS AGUDA",1,"Infección respiratoria alta manejada ambulatoriamente con sintomáticos y antibióticos si necesario",J06.0,alta
"EMBARAZO ECTÓPICO, NO ESPECIFICADO",2,"Emergencia ginecológica que requiere hospitalización y resolución quirúrgica urgente",O00.9,alta
"TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA GLÁNDULA HIPÓFISIS",3,"Neoplasia del SNC que requiere manejo neuroquirúrgico especializado y evaluación endocrinológica compleja",D35.2,alta
"HERIDA DE LA MEJILLA Y DE LA REGIÓN TEMPOROMANDIBULAR",1,"Traumatismo facial menor generalmente manejado ambulatoriamente con sutura",S01.4,alta
"HERNIA ABDOMINAL NO ESPECIFICADA, SIN OBSTRUCCIÓN NI GANGRENA",2,"Patología quirúrgica que requiere corrección mediante herniorrafia programada",K46.9,alta
"CORONAVIRUS COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPÍTULOS",1,"Dependiendo de severidad puede ser ambulatorio; se clasifica nivel 1 por ser código etiológico sin especificar gravedad",B97.2,media
"TRASTORNOS DE LA ACOMODACION Y DE LA REFRACCION",1,"Defectos refractivos manejados ambulatoriamente con corrección óptica",H52,alta
"LUXACIÓN DE LA MUÑECA",2,"Lesión traumatológica que requiere reducción, puede necesitar hospitalización breve o cirugía",S63.0,alta
"PERSONA QUE TEME ESTAR ENFERMA, A QUIEN NO SE HACE DIAGNÓSTICO",1,"Consulta ambulatoria por ansiedad por salud sin patología objetiva",Z71.1,alta
"BOCIO MULTINODULAR NO TÓXICO",2,"Patología tiroidea que puede requerir cirugía (tiroidectomía) según tamaño y sintomatología",E04.2,alta
"FRACTURA DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA MUÑECA Y DE LA MANO",2,"Fractura que requiere reducción, inmovilización y posible manejo quirúrgico hospitalario",S62.8,alta
"FRACTURAS MÚLTIPLES DE LOS DEDOS DE LA MANO",2,"Fracturas múltiples que requieren manejo traumatológico especializado y posible hospitalización",S62.6,alta
"OTRAS EPILEPSIAS",2,"Trastorno neurológico que puede requerir hospitalización para control de crisis o ajuste de tratamiento",G40.8,media
"ENDOMETRIOSIS, NO ESPECIFICADA",2,"Patología ginecológica que puede requerir cirugía laparoscópica o manejo hospitalario",N80.9,alta
"CELULITIS DE OTRAS PARTES DE LOS MIEMBROS",2,"Infección de tejidos blandos que requiere antibióticos intravenosos y hospitalización",L03.1,alta
"SÍNDROME ARTERIAL VÉRTEBRO-BASILAR",3,"Patología cerebrovascular que requiere manejo en unidad vascular o neurología especializada",G45.0,alta
"CARCINOMA IN SITU DE LA MAMA",2,"Lesión premaligna que requiere cirugía oncológica y seguimiento estrecho",D05,alta
"LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DEL TOBILLO Y DEL PIE",2,"Lesión traumatológica que puede requerir reducción quirúrgica y hospitalización breve",S93,alta
"OBESIDAD DEBIDA A EXCESO DE CALORÍAS",1,"Condición crónica manejada ambulatoriamente con dieta, ejercicio y seguimiento médico",E66.0,alta
"LUXACIÓN DE LA CABEZA DEL RADIO",2,"Lesión traumatológica que requiere reducción en urgencias u hospitalización breve",S53.0,alta
"CÓLERA, NO ESPECIFICADO",3,"Enfermedad infecciosa grave que requiere hospitalización para rehidratación intravenosa y aislamiento",A00.9,alta
"HIPOTERMIA NO ASOCIADA CON BAJA TEMPERATURA DEL AMBIENTE",3,"Emergencia médica que requiere hospitalización en UCI para manejo de temperatura y complicaciones",T68,alta
