causa,nivel,justificacion_medica,cie10,confianza
"OTROS HALLAZGOS ANORMALES EN LA ORINA Y LOS NO ESPECIFICADOS",1,"Examen diagnóstico ambulatorio de laboratorio, no requiere hospitalización",R82,alta
"OTRAS AFECCIONES HEMORRÁGICAS ESPECIFICADAS",3,"Trastornos de coagulación que pueden requerir manejo especializado en hematología",D69,alta
"MIOCLONÍA",2,"Trastorno neurológico que puede requerir estudios especializados y hospitalización para diagnóstico",G25.3,media
"PARASITOSIS INTESTINAL, SIN OTRA ESPECIFICACION",1,"Condición ambulatoria manejable con antiparasitarios y seguimiento externo",B82,alta
"TUMOR BENIGNO DEL SISTEMA NERVIOSO CENTRAL, SITIO NO ESPECIFICADO",3,"Requiere neuroimagen, evaluación neuroquirúrgica y posible manejo quirúrgico especializado",D33,alta
"DISFUNCION NEUROMUSCULAR DE LA VEJIGA, NO CLASIFICADA EN OTRA PARTE",2,"Condición urológica que puede requerir estudios urodinámicos y manejo hospitalario",N31,alta
"MALABSORCIÓN DEBIDA A INTOLERANCIA, NO CLASIFICADA EN OTRA PARTE",1,"Condición gastrointestinal manejable ambulatoriamente con dieta y seguimiento",K90,media
"TRASTORNOS TUBERCULOSOS DEL INTESTINO, PERITONEO Y GANGLIOS MESENTÉRICOS",3,"Tuberculosis extrapulmonar que requiere manejo especializado y prolongado en infectología",A18.3,alta
"DERMATITIS DE CONTACTO, FORMA NO ESPECIFICADA, DEBIDA A COSMÉTICOS",1,"Condición dermatológica ambulatoria manejable con antihistamínicos y corticoides tópicos",L25.0,alta
"TRASTORNOS DE LA VESICULA BILIAR, DE LAS VIAS BILIARES Y DEL PANCREAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE",2,"Complicaciones hepatobiliares que pueden requerir internamiento y manejo quirúrgico",K87,media
"TETANIA",2,"Urgencia metabólica que requiere hospitalización para corrección de calcio/magnesio",R29.0,alta
"AUSENCIA, ATRESIA Y ESTENOSIS CONGÉNITA DE OTRAS PARTES ESPECIFICADAS DEL INTESTINO DELGADO",3,"Malformación congénita que requiere cirugía especializada pediátrica",Q41,alta
"MALFORMACIÓN CONGÉNITA DE LA RODILLA",2,"Anomalía congénita que puede requerir cirugía ortopédica programada",Q74.1,alta
"SÍNDROME DE LA ARTERIA CEREBRAL POSTERIOR",3,"Evento cerebrovascular agudo que requiere UCI neurológica y manejo especializado",I66.2,alta
"COMPLICACIONES Y DESCRIPCIONES MAL DEFINIDAS DE ENFERMEDAD CARDIACA",2,"Patología cardíaca que requiere evaluación hospitalaria y estudios cardiológicos",I51,media
"HISTORIA PERSONAL DE TUMOR MALIGNO DE VÍAS URINARIAS",1,"Seguimiento oncológico ambulatorio post-tratamiento",Z85.5,alta
"OTROS PARTOS UNICOS ASISTIDOS",2,"Parto que requiere hospitalización y asistencia obstétrica",O80,alta
"MELANOMA IN SITU DEL CUERO CABELLUDO Y DEL CUELLO",3,"Lesión premaligna que requiere escisión quirúrgica y seguimiento oncológico estrecho",D03.4,alta
"HEMORRAGIA DE LAS VIAS RESPIRATORIAS",3,"Emergencia que requiere manejo urgente en UCI o terapia intensiva",R04,alta
"DISFUNCIÓN OVÁRICA, NO ESPECIFICADA",1,"Trastorno ginecológico manejable ambulatoriamente con estudios hormonales",E28.9,alta
"OTRAS DEFORMIDADES VALGUS CONGÉNITAS DE LOS PIES",2,"Malformación que puede requerir cirugía ortopédica pediátrica programada",Q66,media
"LUXACIONES MÚLTIPLES DE DEDOS DE LA MANO",2,"Trauma que requiere reducción bajo sedación y hospitalización breve",S63.3,alta
"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICIÓN A ANALGÉSICOS NO NARCÓTICOS, ANTIPIRÉTICOS Y ANTIRREUMÁTICOS, VIVIENDA",2,"Intoxicación que requiere hospitalización para observación y manejo de complicaciones",X40,alta
"INFECCIONES HERPETICA [HERPES SIMPLE]",1,"Infección viral ambulatoria manejable con antivirales orales",B00,alta
"OCULOPATÍA HERPÉTICA",2,"Infección ocular que requiere manejo oftalmológico especializado y posible hospitalización",B00.5,alta
"OCUPANTE (CUALQUIERA) DE AUTOMÓVIL LESIONADO EN ACCIDENTE NO DE TRÁNSITO, NO ESPECIFICADO",2,"Traumatismo vehicular que generalmente requiere valoración hospitalaria",V49,media
"QUEMADURA Y CORROSION, REGION DEL CUERPO NO ESPECIFICADA",2,"Quemadura que puede requerir hospitalización según extensión y grado",T30,media
"CONJUNTIVITIS Y DACRIOCISTITIS NEONATALES",1,"Infección ocular neonatal manejable ambulatoriamente con antibióticos tópicos",P39.1,alta
"TRASTORNOS GRANULOMATOSOS DE LA PIEL Y DEL TEJIDO SUBCUTANEO",2,"Condición dermatológica que puede requerir biopsia y manejo especializado",L92,alta
"OTRAS VASCULOPATIAS NECROTIZANTES",3,"Vasculitis grave que requiere inmunosupresión y manejo en medicina interna",M31,alta
"TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL OIDO MEDIO Y DE LOS ORGANOS RESPIRATORIOS E INTRATORACICOS",3,"Masa que requiere estudio histopatológico y evaluación oncológica especializada",D38,alta
