causa,nivel,justificacion_medica,cie10,confianza
"RUPTURA DE LAS CUERDAS TENDINOSAS COMO COMPLICACIÓN PRESENTE POSTERIOR AL INFARTO AGUDO DEL MIOCARDIO",3,"Complicación mecánica cardiaca post-infarto que requiere manejo en UCI y probable cirugía cardiovascular urgente",I23.4,alta
"ALCALOSIS",2,"Trastorno hidroelectrolítico que requiere hospitalización para corrección y monitoreo",E87.3,alta
"SÍNDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLÓGICAS Y FACTORES FÍSICOS, NO ESPECIFICADOS",2,"Trastornos psicosomáticos que pueden requerir manejo hospitalario multidisciplinario",F59,media
"PRESENCIA DE IMPLANTES DE RAÍZ DE DIENTE Y DE MANDÍBULA",1,"Seguimiento ambulatorio de implantes dentales, no requiere hospitalización",Z96.5,alta
"AMPUTACIÓN TRAUMÁTICA DE LA MANO A NIVEL DE LA MUÑECA",3,"Trauma grave que requiere cirugía de urgencia, hospitalización prolongada y rehabilitación intensiva",S68.4,alta
"ESTENOSIS NO REUMATICA (DE LA VALVULA) TRICUSPIDE)",3,"Valvulopatía que puede requerir cirugía cardiaca de alta complejidad",I36.0,alta
"ATROFIA DE LAS PAPILAS LINGUALES",1,"Trastorno lingual benigno de manejo ambulatorio",K14.4,alta
"SEPTICEMIA DEBIDA A SALMONELLA",3,"Infección sistémica grave que requiere UCI, antibioticoterapia intensiva y monitoreo constante",A02.1,alta
"ENVENENAMIENTO POR ANTICONCEPTIVOS ORALES",2,"Intoxicación que requiere hospitalización para desintoxicación y vigilancia",T38.4,alta
"PERSONA LESIONADA POR COLISION ENTRE AUTOMOVIL Y V",2,"Trauma de tránsito que típicamente requiere evaluación hospitalaria y manejo de lesiones múltiples",V43,media
"CIRROSIS BILIAR SECUNDARIA",3,"Hepatopatía crónica avanzada que requiere manejo especializado, posible candidato a trasplante",K74.5,alta
"FETO Y RECIÉN NACIDO AFECTADOS POR SÍNDROMES DE TRANSFUSIÓN PLACENTARIA",3,"Complicación neonatal grave que requiere UCI neonatal y manejo especializado",P02.3,alta
"TUMOR BENIGNO DEL OJO Y SUS ANEXOS",2,"Tumor que puede requerir cirugía oftalmológica programada y seguimiento",D31,alta
"OTROS TRASTORNOS ADRENOGENITALES",3,"Trastornos endocrinos complejos que requieren manejo por endocrinología especializada",E25,alta
"DISFUNCIÓN DEL LABERINTO",1,"Trastorno vestibular de manejo ambulatorio con medicamentos y terapia vestibular",H83.2,alta
"INHALACIÓN E INGESTIÓN DE OTROS OBJETOS QUE CAUSAN OBSTRUCCIÓN DE LAS VÍAS RESPIRATORIAS, GRANJA",3,"Emergencia respiratoria que requiere extracción urgente, posible broncoscopia o cirugía",T17,alta
"TRASTORNOS HIPERTENSIVOS PREEXISTENTES, CON PROTEINURIA AGREGADA",2,"Complicación obstétrica que requiere hospitalización y monitoreo fetal estrecho",O11,alta
"TRASTORNO NO ESPECIFICADO DE LA ENCÍA Y DE LA ZONA EDÉNTULA",1,"Patología dental/periodontal de manejo ambulatorio",K06.9,alta
"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MÚLTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS, INTOXICACIÓN AGUDA",2,"Intoxicación aguda por politoxicomanía que requiere hospitalización y desintoxicación",F19.0,alta
"TRASTORNO LOCALIZADO DEL TEJIDO CONJUNTIVO, NO ESPECIFICADO",1,"Trastorno del tejido conectivo de manejo ambulatorio por reumatología",M79.9,media
"CONTACTO CON AIRE Y GASES CALIENTES, VIVIENDA",2,"Quemadura por inhalación que requiere hospitalización y manejo de vía aérea",X14.0,alta
"HEMIPLEJIA",3,"Parálisis de medio cuerpo que sugiere evento cerebrovascular, requiere UCI y neurología",G81,alta
"OTRAS CAÍDAS EN EL MISMO NIVEL, OTRO LUGAR ESPECIFICADO",2,"Trauma por caída que puede requerir evaluación hospitalaria según lesiones",W18.3,media
"CONDUCTOR DE VEHÍCULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISIÓN CON OTROS VEHÍCULOS DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE NO DE TRÁNSITO",2,"Politraumatismo vehicular que requiere evaluación y manejo hospitalario",V32,media
"FACOMATOSIS, NO CLASIFICADA EN OTRA PARTE",3,"Síndrome neurocutáneo complejo que requiere manejo multidisciplinario especializado",Q85.9,alta
"FASCITIS NODULAR",2,"Lesión de tejidos blandos que puede requerir biopsia y cirugía programada",M72.4,alta
"OTROS TRASTORNOS DEL HUMOR [AFECTIVOS] PERSISTENTES",1,"Trastorno psiquiátrico de manejo ambulatorio con psiquiatría",F34,alta
"MALFORMACION CONGENITA DEL APARATO URINARIO, NO ESPECIFICADA",3,"Malformación genitourinaria congénita que puede requerir cirugía urológica pediátrica",Q64.9,alta
"TRASTORNO DE LA CONTINUIDAD DEL HUESO, NO ESPECIFICADO",2,"Fractura o pseudoartrosis que requiere manejo ortopédico, posible cirugía",M84.9,media
"ESTENOSIS MITRAL CONGÉNITA",3,"Cardiopatía congénita que requiere manejo cardiológico especializado, posible cirugía valvular",Q23.2,alta
"DISPLASIA CONDROECTODÉRMICA",3,"Displasia ósea congénita rara que requiere manejo multidisciplinario especializado",Q77.6,alta
"HERIDA QUE COMPROMETE LA FARINGE Y EL ESÓFAGO CERVICAL",3,"Trauma cervical complejo que requiere cirugía urgente y UCI",S11.2,alta
"COMPLICACIONES DE PROCEDIMIENTOS, NO CLASIFICADAS EN OTRA PARTE",2,"Complicación postquirúrgica o postprocedimiento que requiere hospitalización y manejo",T81,media
"AMPUTACIÓN TRAUMÁTICA EN ALGÚN NIVEL ENTRE LA CADERA Y LA RODILLA",3,"Trauma grave que requiere cirugía de urgencia, UCI y rehabilitación prolongada",S78,alta
"DELIRIO NO SUPERPUESTO A UN CUADRO DE DEMENCIA, ASÍ DESCRITO",2,"Estado confusional agudo que requiere hospitalización para estudio etiológico y manejo",F05.0,alta
"HIPOPLASIA Y DISPLASIA PULMONAR",3,"Malformación pulmonar congénita que requiere manejo neumológico especializado",Q33.6,alta
"DOLOR FACIAL ATÍPICO",1,"Dolor crónico facial de manejo ambulatorio con neurología o algología",G50.1,alta
"SÍNDROME DEL ABDOMEN EN CIRUELA PASA",3,"Malformación congénita compleja de pared abdominal que requiere cirugía especializada",Q79.4,alta
"ICTERICIA NEONATAL DEBIDA A HEMORRAGIA",2,"Ictericia patológica neonatal que requiere hospitalización y fototerapia, posible transfusión",P58,alta
"INFECCIÓN PULMONAR DEBIDA A HISTOPLASMA CAPSULATUM, SIN OTRA ESPECIFICACIÓN",2,"Infección fúngica pulmonar que requiere hospitalización y antifúngicos",B39.2,alta
"PRUEBA Y AJUSTE DE PRÓTESIS DENTAL",1,"Atención dental ambulatoria de rutina",Z46.3,alta
"TRAUMATISMOS POR APLASTAMIENTO QUE AFECTAN MÚLTIPLES REGIONES DEL (DE LOS) MIEMBRO(S) INFERIOR(ES)",3,"Politraumatismo grave que requiere cirugía ortopédica de urgencia y UCI",T04.3,alta
"OTROS TRASTORNOS HEMATOLÓGICOS PERINATALES ESPECIFICADOS",3,"Trastorno hematológico neonatal que requiere UCI neonatal y manejo especializado",P61,alta
"TUMOR MALIGNO DE SITIOS MAL DEFINIDOS DEL SISTEMA RESPIRATORIO",3,"Cáncer respiratorio que requiere oncología, quimioterapia y/o radioterapia",C39,alta
"TRASTORNO DEL METABOLISMO DE LOS AMINOACIDOS AZUFRADOS",3,"Error congénito del metabolismo que requiere manejo metabólico especializado",E72.1,alta
"PROBLEMAS RELACIONADOS CON LA DIETA Y HÁBITOS ALIMENTARIOS INAPROPIADOS",1,"Trastorno alimentario de manejo ambulatorio con nutrición",Z72.4,alta
"CANDIDIASIS DE OTRAS LOCALIZACIONES UROGENITALES",1,"Infección micótica urogenital de manejo ambulatorio con antifúngicos",B37.4,alta
"OTROS TRASTORNOS DEL NERVIO OPTICO [II PAR] Y DE LAS VIAS OPTICAS",2,"Neuropatía óptica que requiere evaluación oftalmológica especializada y posible hospitalización",H47,media
"EXAMEN PARA ADMISIÓN A INSTITUCIONES EDUCATIVAS",1,"Examen médico preventivo ambulatorio",Z02.0,alta
"TRASTORNO NO REUMÁTICO DE LA VÁLVULA TRICÚSPIDE, NO ESPECIFICADO",3,"Valvulopatía que puede requerir manejo cardiológico especializado o cirugía",I07.9,alta
"ENFERMEDAD DE PAGET DEL CRÁNEO",2,"Enfermedad ósea crónica que puede requerir hospitalización para tratamiento",M88.0,alta
"OTROS ESTRANGULAMIENTOS Y AHORCAMIENTOS ACCIDENTALES: VIVIENDA",3,"Asfixia mecánica grave que requiere manejo urgente de vía aérea y UCI",W76.0,alta
"OTRAS ESPONDILOPATÍAS INFECCIOSAS",2,"Infección espinal que requiere hospitalización, antibióticos parenterales e imagen",M49,alta
"GOLPE CONTRA O GOLPEADO POR EQUIPO PARA DEPORTES, VIVIENDA",2,"Trauma deportivo que puede requerir evaluación hospitalaria según gravedad",W21.0,media
"OTRAS MALFORMACIONES CONGÉNITAS DE LOS PÁRPADOS",2,"Malformación palpebral que puede requerir cirugía oftalmológica programada",Q10.3,alta
"EFECTO TÓXICO DEL PLOMO Y SUS COMPUESTOS",2,"Intoxicación por plomo que requiere hospitalización, quelación y monitoreo",T56.0,alta
"OTRAS ENFERMEDADES INFLAMATORIAS DE LA VAGINA Y DE",1,"Vaginitis o vulvovaginitis de manejo ambulatorio con tratamiento tópico",N76,media
"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICIÓN A DISOLVENTES ORGÁNICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES, LUGAR NO ESPECIFICADO",2,"Intoxicación química que requiere hospitalización para desintoxicación y vigilancia neurológica",X46,alta
